,ID,Count
0,18288,411.71901664066013
1,18289,328.5733153131002
2,18290,278.07422779437263
3,18291,229.76279996386586
4,18292,193.39204307374783
5,18293,173.11777887287923
6,18294,186.1486213635856
7,18295,215.88323331318105
8,18296,248.60301299787398
9,18297,321.2494111394918
10,18298,455.9770549485106
11,18299,505.5103529058833
12,18300,510.866095018852
13,18301,451.8212331996499
14,18302,483.1069617174825
15,18303,477.0049276707397
16,18304,464.83012592759826
17,18305,475.6586755549114
18,18306,487.36521569254734
19,18307,517.1437271676591
20,18308,496.95726201782236
21,18309,463.85701977865665
22,18310,465.53983492344184
23,18311,454.5356871940644
24,18312,392.3505143724864
25,18313,313.1162371950459
26,18314,264.9927788107891
27,18315,218.95406601576627
28,18316,184.29429904559228
29,18317,164.97379728048406
30,18318,177.39162970331267
31,18319,205.72743597303435
32,18320,236.90797869896852
33,18321,306.1368715267411
34,18322,434.52652129314276
35,18323,481.7296237650958
36,18324,486.83341564241783
37,18325,430.56620191292586
38,18326,460.38015555695426
39,18327,454.56517956557923
40,18328,442.96311715592935
41,18329,453.2822592029736
42,18330,464.43808844302146
43,18331,492.8157290723935
44,18332,473.57889602658526
45,18333,442.0357888503498
46,18334,443.63943930360676
47,18335,433.15295981796214
48,18336,377.924089541847
49,18337,301.60319542837055
50,18338,255.24919937317748
51,18339,210.90329442498273
52,18340,177.5179402681637
53,18341,158.9078384036402
54,18342,170.8690767366307
55,18343,198.16299733476228
56,18344,228.19705563073802
57,18345,294.8804556353763
58,18346,418.549317321891
59,18347,464.0167982395465
60,18348,468.9329276386196
61,18349,414.73461582097116
62,18350,443.4523334581789
63,18351,437.85116963464486
64,18352,426.67570608265396
65,18353,436.61542126110726
66,18354,447.3610592918677
67,18355,474.6952760326148
68,18356,456.1657664533217
69,18357,425.7824749213464
70,18358,427.32716038826834
71,18359,417.2262606393539
72,18360,262.63317372632827
73,18361,209.5950128963242
74,18362,177.3819377424445
75,18363,146.56435802047008
76,18364,123.36366306394503
77,18365,110.430827472609
78,18366,118.74312634960998
79,18367,137.7106629223956
80,18368,158.58242068654377
81,18369,204.92313688516325
82,18370,290.8651197717961
