,ID,Count
0,18288,482.3122445914713
1,18289,384.91040446605416
2,18290,325.75275746274286
3,18291,269.15786566864483
4,18292,226.55098892951702
5,18293,202.8005050340987
6,18294,218.0656121498477
7,18295,252.8985123847732
8,18296,291.22841638344164
9,18297,376.3307457221665
10,18298,534.1587538240171
11,18299,592.185017256706
12,18300,598.4590534210678
13,18301,529.2903760352776
14,18302,565.9403468533249
15,18303,558.7920597480274
16,18304,544.5297698880579
17,18305,557.2149796192807
18,18306,570.9287198692513
19,18307,605.8130466301145
20,18308,582.1654157865705
21,18309,543.3898152297784
22,18310,545.3611653907117
23,18311,532.4702495557398
24,18312,367.30839303924165
25,18313,293.1313142345442
26,18314,248.07937848040635
27,18315,204.9791275698627
28,18316,172.53155112335162
29,18317,154.44419760629614
30,18318,166.06945080509664
31,18319,192.5966989802365
32,18320,221.7871157713848
33,18321,286.597412801642
34,18322,406.79247872118617
35,18323,450.9828010995568
36,18324,455.76083891063035
37,18325,403.0849302557631
38,18326,430.99598173137815
39,18327,425.5521517663026
40,18328,414.6906013323871
41,18329,424.3511149394753
42,18330,434.79491343362486
43,18331,461.361325853118
44,18332,443.35230082476824
45,18333,413.8224605825603
46,18334,415.32375661609444
47,18335,405.5065860315942
48,18336,361.66291799613185
49,18337,288.6259297940413
50,18338,244.2664355516241
51,18339,201.82862904877265
52,18340,169.8797669973302
53,18341,152.07041339754187
54,18342,163.51698819408583
55,18343,189.63651653386893
56,18344,218.37828098650448
57,18345,282.1924534485388
58,18346,400.54013918888506
59,18347,444.0512629242031
60,18348,448.75586300902637
61,18349,396.8895751886398
62,18350,424.37163797921903
63,18351,419.01147886618276
64,18352,408.31686883729526
65,18353,417.8289017956807
66,18354,428.1121806696109
67,18355,454.2702713051715
68,18356,436.5380422969372
69,18357,407.4620712808992
70,18358,408.94029261902676
71,18359,399.27401047753256
72,18360,510.5599069861886
73,18361,407.4535168989154
74,18362,344.83117402823945
75,18363,284.92167968238715
76,18364,239.8194388231971
77,18365,214.67795634063486
78,18366,230.83709755371453
79,18367,267.71006211854007
80,18368,308.28484005503145
81,18369,398.3713718375498
82,18370,565.4429194499265
83,18371,626.8676168180049
84,18372,633.5091055142285
85,18373,560.2894145599608
86,18374,599.0858703865347
87,18375,591.5189283473946
